index,speaker_id,y_true,holistic_predicted
239,852100104103,2.0,3
240,852100104113,3.0,3
241,852110204006,3.0,2
242,852110204010,2.0,2
243,852110204012,2.0,2
244,852110204013,3.0,3
245,852110204015,4.0,2
246,852110204016,1.0,1
247,852110204025,2.0,1
248,852110204028,2.0,2
249,852110204035,2.0,2
250,852110204037,3.0,3
251,852110204038,3.0,2
252,852110204051,2.0,2
253,852110204063,2.0,2
254,852110204072,3.0,2
255,852110704008,2.0,3
256,852110704010,2.0,2
257,852110704017,2.0,2
258,852110704019,2.0,2
259,852110704024,2.0,2
260,852120404005,3.0,3
261,852120404011,2.0,1
262,852120404022,2.0,2
263,852120404023,4.0,3
264,852120404036,2.0,2
265,852120404039,3.0,3
266,852120404045,3.0,3
267,852120404046,2.0,2
268,852120404049,3.0,3
269,852130104001,2.0,2
270,852130104003,3.0,2
271,852130104010,3.0,3
272,852130104012,2.0,2
273,852130104020,2.0,3
274,852160204003,2.0,2
275,852160204004,2.0,3
276,852160204005,3.0,3
277,852160204009,2.0,2
278,852160204012,3.0,2
279,852170104001,2.0,2
280,852170104002,2.0,2
281,852170104008,3.0,2
282,852170104013,4.0,3
283,852170104019,4.0,3
284,852170104021,2.0,2
285,852170104023,2.0,2
286,852170104024,2.0,3
287,852170104026,3.0,3
288,852170104028,3.0,3
289,852170104031,3.0,3
290,852170104034,4.0,3
291,852170104036,3.0,3
292,852170104038,3.0,2
293,852180204005,2.0,3
294,852180204006,3.0,3
295,852180204007,2.0,2
296,852180204015,3.0,3
297,852180204021,3.0,2
298,852180204022,3.0,2
299,852180204025,3.0,3
