index,speaker_id,y_true,holistic_predicted
113,852030204042,3.0,2
114,852030204047,2.0,2
115,852030204058,2.0,2
116,852030204062,3.0,4
117,852030204064,4.0,4
118,852030204070,3.0,4
119,852030204072,2.0,4
120,852030204077,2.0,2
121,852030204078,3.0,4
122,852030204079,2.0,2
123,852030304025,2.0,2
124,852030304033,2.0,4
125,852030304034,3.0,4
126,852031104012,3.0,4
127,852031104018,3.0,4
128,852031104030,3.0,4
129,852031104032,2.0,2
130,852031104045,2.0,4
131,852031104051,3.0,4
132,852031104066,3.0,4
133,852031104075,3.0,4
134,852031104078,3.0,4
135,852040104007,3.0,2
136,852040104010,3.0,4
137,852040104013,4.0,4
138,852040104016,3.0,4
139,852040104020,2.0,4
140,852040104023,3.0,2
141,852040104024,3.0,2
142,852040104025,2.0,2
143,852040104031,2.0,2
144,852041004012,1.0,2
145,852041004014,2.0,2
146,852041004020,3.0,2
147,852041004029,3.0,4
148,852041004036,2.0,2
149,852050204007,3.0,2
150,852050204014,2.0,2
151,852050204020,3.0,2
152,852050204023,3.0,2
153,852050204063,3.0,4
154,852050204064,3.0,4
155,852050204075,3.0,4
156,852050204082,2.0,2
157,852050204086,2.0,2
158,852050204092,2.0,4
159,852050204094,2.0,2
160,852050204096,3.0,2
161,852050204098,3.0,2
162,852050804017,3.0,4
163,852050804018,2.0,2
164,852050804027,3.0,2
165,852050804029,2.0,2
166,852050804030,3.0,4
167,852050804031,2.0,2
168,852050804034,4.0,2
169,852050804037,2.0,4
170,852050804055,2.0,2
171,852060304003,3.0,2
172,852060304009,3.0,4
173,852060304019,2.0,2
174,852060304022,2.0,2
175,852060304025,2.0,2
176,852060304041,2.0,2
177,852061004001,2.0,2
178,852061004007,3.0,4
179,852061004014,2.0,4
180,852061004017,3.0,2
181,852061004018,2.0,2
182,852061004023,2.0,2
183,852061004024,3.0,4
184,852061004041,2.0,4
185,852061004058,2.0,4
186,852061104012,4.0,4
187,852061104013,2.0,2
188,852061104015,2.0,4
189,852061104016,3.0,2
190,852061104022,2.0,2
191,852061104023,3.0,4
192,852061104033,3.0,2
193,852061104035,2.0,2
194,852061104038,3.0,4
195,852061604001,2.0,4
196,852061604016,2.0,2
197,852070404002,2.0,2
198,852070404005,2.0,2
199,852070404009,3.0,2
200,852070404016,3.0,4
201,852080104005,1.0,2
202,852080104008,2.0,2
203,852080104010,1.0,2
204,852080104016,2.0,2
205,852080104017,3.0,4
206,852080104020,2.0,2
207,852090404003,3.0,4
208,852090404005,2.0,2
209,852090404009,2.0,2
210,852090404010,3.0,4
211,852090404015,3.0,4
212,852090404016,3.0,4
213,852090404019,3.0,4
214,852090404022,2.0,2
215,852090404024,3.0,2
216,852090404026,2.0,2
217,852090404027,2.0,4
218,852090404032,2.0,2
219,852090404033,2.0,2
220,852090404036,2.0,2
221,852090404044,3.0,4
222,852100104001,3.0,4
223,852100104010,2.0,2
224,852100104013,3.0,4
225,852100104022,3.0,2
226,852100104024,2.0,2
227,852100104033,3.0,4
228,852100104034,3.0,2
229,852100104044,2.0,2
230,852100104047,3.0,4
231,852100104049,3.0,4
232,852100104051,3.0,4
233,852100104062,3.0,4
234,852100104063,3.0,4
235,852100104076,2.0,2
236,852100104087,3.0,4
237,852100104099,2.0,2
238,852100104102,3.0,4
239,852100104103,2.0,4
240,852100104113,3.0,2
241,852110204006,3.0,4
242,852110204010,2.0,2
243,852110204012,2.0,4
244,852110204013,3.0,4
245,852110204015,4.0,2
246,852110204016,1.0,2
247,852110204025,2.0,2
248,852110204028,2.0,2
249,852110204035,2.0,2
250,852110204037,3.0,4
251,852110204038,3.0,2
252,852110204051,2.0,2
253,852110204063,2.0,2
254,852110204072,3.0,2
255,852110704008,2.0,4
256,852110704010,2.0,2
257,852110704017,2.0,2
258,852110704019,2.0,4
259,852110704024,2.0,2
260,852120404005,3.0,4
261,852120404011,2.0,2
262,852120404022,2.0,2
263,852120404023,4.0,4
264,852120404036,2.0,4
265,852120404039,3.0,4
266,852120404045,3.0,2
267,852120404046,2.0,2
268,852120404049,3.0,2
269,852130104001,2.0,2
270,852130104003,3.0,4
271,852130104010,3.0,4
272,852130104012,2.0,2
273,852130104020,2.0,2
274,852160204003,2.0,4
275,852160204004,2.0,4
276,852160204005,3.0,4
277,852160204009,2.0,2
278,852160204012,3.0,2
279,852170104001,2.0,2
280,852170104002,2.0,2
281,852170104008,3.0,2
282,852170104013,4.0,4
283,852170104019,4.0,4
284,852170104021,2.0,2
285,852170104023,2.0,2
286,852170104024,2.0,4
287,852170104026,3.0,4
288,852170104028,3.0,4
289,852170104031,3.0,4
290,852170104034,4.0,4
291,852170104036,3.0,4
292,852170104038,3.0,2
293,852180204005,2.0,4
294,852180204006,3.0,4
295,852180204007,2.0,2
296,852180204015,3.0,2
297,852180204021,3.0,2
298,852180204022,3.0,4
299,852180204025,3.0,4
